患	n	SBV	
者	n	SBV	
半	mq	ATT	
天	mq	ATT	
前	f	ADV	
不	d	ADV	
慎	d	ADV	
跌	vi	HED	
倒	vi	HED	
，	w	BDF	
左	f	ATT	
髋	n	ATT	
着	n	SBV	
地	n	SBV	
，	w	BDF	
觉	v	COO	
左	f	ATT	
髋	n	SBV	
疼	an	VOB	
痛	an	VOB	
，	w	BDF	
不	v	ADV	
能	v	ADV	
站	vi	COO	
立	vi	COO	
行	vi	COO	
走	vi	COO	
，	w	BDF	
无	v	COO	
昏	vn	VOB	
迷	vn	VOB	
，	w	BDF	
无	v	COO	
恶	a	VOB	
心	a	VOB	
呕	vi	COO	
吐	vi	COO	
。	w	BDF	

N	nx	ATT	
月	n	ADV	
N	nx	SBV	
日	b	ATT	
左	f	ADV	
右	f	ADV	
无	v	HED	
明	a	ATT	
显	a	ATT	
诱	n	VOB	
因	n	VOB	
出	v	COO	
现	v	COO	
头	vi	VOB	
晕	vi	VOB	
，	w	BDF	
伴	v	ADV	
视	vg	COO	
物	ng	DBL	
旋	vi	VOB	
转	vi	VOB	
，	w	BDF	
胸	nz	COO	
闷	nz	COO	
，	w	BDF	
稍	d	ADV	
气	nhd	COO	
急	nhd	COO	
，	w	BDF	
左	f	ADV	
侧	f	ADV	
肢	n	SBV	
体	n	SBV	
乏	a	COO	
力	a	COO	
较	d	ATT	
前	f	ADV	
无	v	COO	
明	a	ADV	
显	a	ADV	
加	v	VOB	
重	v	VOB	
，	w	BDF	
无	v	COO	
耳	vi	VOB	
鸣	vi	VOB	
，	w	BDF	
无	v	COO	
饮	n	VOB	
水	n	VOB	
呛	nhd	VOB	
咳	nhd	VOB	
，	w	BDF	
于	p	ADV	
仁	ns	ATT	
济	ns	ATT	
医	ns	ATT	
院	ns	ATT	
急	n	POB	
诊	n	POB	
治	vn	COO	
疗	vn	COO	
，	w	BDF	
头	n	ATT	
颅	n	ATT	
N	nx	ATT	
平	nz	COO	
扫	nz	COO	
：	w	BDF	
右	f	ATT	
侧	f	ATT	
颞	n	ATT	
枕	v	ATT	
部	q	ATT	
脑	nhd	COO	
梗	nhd	COO	
塞	nhd	COO	
；	w	BDF	
双	nz	ATT	
侧	nz	ATT	
基	nz	SBV	
底	nz	SBV	
节	nz	SBV	
区	nz	SBV	
及	cc	LAD	
半	mq	ATT	
卵	n	COO	
圆	v	COO	
中	nis	ATT	
心	nis	ATT	
腔	ng	ATT	
梗	ng	VOB	
；	w	BDF	
老	n	ATT	
年	n	ATT	
性	n	ATT	
脑	n	SBV	
改	v	COO	
变	v	COO	
。	w	BDF	

患	n	SBV	
者	n	SBV	
N	nx	ATT	
年	qt	ATT	
N	nx	ATT	
月	n	ADV	
因	p	ADV	
配	n	SBV	
偶	n	SBV	
病	vi	POB	
逝	vi	POB	
，	w	BDF	
心	n	SBV	
情	n	SBV	
沮	a	HED	
丧	a	HED	
，	w	BDF	
于	nr	SBV	
家	nr	SBV	
中	nr	SBV	
忽	d	ADV	
觉	v	COO	
头	vi	VOB	
晕	vi	VOB	
无	vi	COO	
力	vi	COO	
，	w	BDF	
伴	v	COO	
脸	l	VOB	
色	l	VOB	
苍	l	VOB	
白	l	VOB	
，	w	BDF	
大	al	COO	
汗	al	COO	
淋	al	COO	
漓	al	COO	
，	w	BDF	
在	p	ADV	
家	n	POB	
属	n	POB	
搀	v	ATT	
扶	v	ATT	
去	vf	CMP	
卧	n	VOB	
室	n	VOB	
的	ude1	RAD	
途	s	ADV	
中	s	ADV	
，	w	BDF	
忽	d	ADV	
然	d	ADV	
出	v	COO	
现	v	COO	
意	nhd	VOB	
识	nhd	VOB	
丧	nhd	VOB	
失	nhd	VOB	
，	w	BDF	
伴	v	COO	
小	v	VOB	
便	v	VOB	
失	vi	COO	
禁	vi	COO	
，	w	BDF	
无	v	COO	
视	v	COO	
物	ng	SBV	
旋	vi	VOB	
转	vi	VOB	
，	w	BDF	
无	v	COO	
耳	vi	VOB	
鸣	vi	VOB	
，	w	BDF	
无	v	COO	
黑	a	VOB	
矇	nz	VOB	
，	w	BDF	
当	t	ADV	
时	t	ADV	
测	vi	COO	
得	vi	COO	
血	n	VOB	
压	n	VOB	
，	w	BDF	
N	nx	COO	
/	w	BDF	
N	nx	COO	
，	w	BDF	
N	nx	ATT	
后	f	ADV	
自	n	SBV	
然	n	SBV	
苏	vi	COO	
醒	vi	COO	
，	w	BDF	
醒	nz	SBV	
后	nz	SBV	
无	v	ATT	
四	n	VOB	
肢	n	VOB	
活	vn	SBV	
动	vn	SBV	
不	a	COO	
利	a	COO	
，	w	BDF	
遂	d	ADV	
至	p	ADV	
我	n	POB	
院	n	POB	
就	vi	COO	
诊	vi	COO	
，	w	BDF	
诊	vn	COO	
断	vn	COO	
：	w	BDF	
右	f	ATT	
侧	f	ATT	
大	n	ATT	
脑	n	ATT	
中	f	ADV	
动	n	SBV	
脉	n	SBV	
闭	a	VOB	
塞	a	VOB	
，	w	BDF	
腔	ng	ATT	
梗	ng	COO	
，	w	BDF	
心	gb	COO	
律	gb	COO	
失	gb	COO	
常	gb	COO	
，	w	BDF	
室	nhd	COO	
性	nhd	COO	
早	nhd	COO	
搏	nhd	COO	
，	w	BDF	
血	nhd	COO	
脂	nhd	COO	
异	nhd	COO	
常	nhd	COO	
，	w	BDF	
后	f	ADV	
长	d	ADV	
期	d	ADV	
生	vn	COO	
活	vn	COO	
在	p	CMP	
澳	ns	POB	
洲	ns	POB	
。	w	BDF	

